"","sub","time_stamp","eye","offset","x_pos","y_pos","x_offset","y_offset"
"188",3,13164159,"RIGHT",0.63,216,934,9.2,-33.9
"189",3,13164159,"RIGHT",1.6,1703,934,37.6,80.6
"190",3,13183206,"RIGHT",0.1,960,540,5.3,2.5
"191",3,13183206,"RIGHT",0.43,960,92,20.5,12
"192",3,13183206,"RIGHT",1.4,960,987,-34.8,70
"193",3,13183206,"RIGHT",0.77,115,540,36,22.9
"194",3,13183206,"RIGHT",1.03,1804,540,-42.5,38.4
"195",3,13183206,"RIGHT",1.31,216,145,55.5,47.1
"196",3,13183206,"RIGHT",0.26,1703,145,-2.9,-14.1
"197",3,13183206,"RIGHT",0.91,216,934,-8.1,50.4
"198",3,13183206,"RIGHT",1.94,1703,934,36.6,101.9
"199",3,13212424,"RIGHT",0.56,960,540,-18.3,25
"200",3,13212424,"RIGHT",0.86,960,92,-18.2,43.9
"201",3,13212424,"RIGHT",0.23,960,987,-10.2,-8.1
"202",3,13212424,"RIGHT",0.28,115,540,-15.1,-4
"203",3,13212424,"RIGHT",1.62,1804,540,-56.6,69.8
"204",3,13212424,"RIGHT",0.93,216,145,13.9,49.9
"205",3,13212424,"RIGHT",1.12,1703,145,30,-54.6
"206",3,13212424,"RIGHT",0.31,216,934,17.2,1.3
"207",3,13212424,"RIGHT",0.1,1703,934,-3.2,-4.3
"208",3,13420271,"RIGHT",0.09,960,540,-3.2,-3.8
"209",3,13420271,"RIGHT",0.29,960,92,-0.5,16.3
"210",3,13420271,"RIGHT",0.08,960,987,4.4,1.2
"211",3,13420271,"RIGHT",0.34,115,540,0.9,-18.6
"212",3,13420271,"RIGHT",0.68,1804,540,1.5,-37.9
"213",3,13420271,"RIGHT",0.86,216,145,38.4,28.7
"214",3,13420271,"RIGHT",1.92,1703,145,55.4,-91
"215",3,13420271,"RIGHT",0.93,216,934,-31.9,-40.6
"216",3,13420271,"RIGHT",0.49,1703,934,6.8,-26.4
"217",3,13609666,"RIGHT",0.63,960,540,-26.2,22.8
"218",3,13609666,"RIGHT",0.3,960,92,14,8.9
"219",3,13609666,"RIGHT",0.31,960,987,10.4,-13.7
"220",3,13609666,"RIGHT",0.38,115,540,17.6,11.7
"221",3,13609666,"RIGHT",0.54,1804,540,26.8,-13.7
"222",3,13609666,"RIGHT",1.63,216,145,54,72.4
"223",3,13609666,"RIGHT",1.06,1703,145,-7.9,-58.4
"224",3,13609666,"RIGHT",0.73,216,934,24.1,-32.3
"225",3,13609666,"RIGHT",0.55,1703,934,-30.2,5.3
"226",3,13795662,"RIGHT",0.57,960,540,-6.2,31
"227",3,13795662,"RIGHT",0.51,960,92,-1.9,28.2
"228",3,13795662,"RIGHT",0.5,960,987,27.6,0
"229",3,13795662,"RIGHT",0.16,115,540,1.3,8.9
"230",3,13795662,"RIGHT",0.73,1804,540,-25.4,31.8
"231",3,13795662,"RIGHT",1.6,216,145,73.6,49.6
"232",3,13795662,"RIGHT",1.72,1703,145,3.8,-95
"233",3,13795662,"RIGHT",0.4,216,934,22,3.5
"234",3,13795662,"RIGHT",0.52,1703,934,26.3,-12.3
"235",4,4208530,"RIGHT",0.61,960,540,-21.8,-26.2
"236",4,4208530,"RIGHT",0.44,960,92,-23.3,-8
"237",4,4208530,"RIGHT",0.46,960,987,-25.3,-0.9
"238",4,4208530,"RIGHT",0.3,115,540,17,0.7
"239",4,4208530,"RIGHT",0.44,1804,540,23.2,7.9
"240",4,4208530,"RIGHT",0.26,216,145,-13.5,5.4
"241",4,4208530,"RIGHT",0.32,1703,145,-4.3,-17.2
"242",4,4208530,"RIGHT",0.88,216,934,-25.7,-41.8
"243",4,4208530,"RIGHT",0.31,1703,934,13.9,-10.1
"244",4,4518023,"RIGHT",0.46,960,540,11.1,24
"245",4,4518023,"RIGHT",0.72,960,92,1.3,-40.9
"246",4,4518023,"RIGHT",1,960,987,-53.6,20.1
"247",4,4518023,"RIGHT",4.67,115,540,-255.9,78.5
"248",4,4518023,"RIGHT",0.25,1804,540,0.9,-14.1
"249",4,4518023,"RIGHT",0.19,216,145,-10.2,-3.1
"250",4,4518023,"RIGHT",0.2,1703,145,0.1,11.5
"251",4,4518023,"RIGHT",20.95,216,934,-917.8,770.2
"252",4,4518023,"RIGHT",0.26,1703,934,-11.9,8.7
"253",4,4556966,"RIGHT",0.5,960,540,-8,26.7
"254",4,4556966,"RIGHT",0.56,960,92,6.1,30.6
"255",4,4556966,"RIGHT",0.18,960,987,-9.4,3.1
"256",4,4556966,"RIGHT",0.84,115,540,42.1,21.6
"257",4,4556966,"RIGHT",1.08,1804,540,-39.1,46
"258",4,4556966,"RIGHT",10.39,216,145,-580.8,-53.3
"259",4,4556966,"RIGHT",0.73,1703,145,37.5,15.9
"260",4,4556966,"RIGHT",1.27,216,934,70.3,-10.1
"261",4,4556966,"RIGHT",1.01,1703,934,55.9,-10.1
"262",4,4609709,"RIGHT",0.39,960,540,21.7,3.2
"263",4,4609709,"RIGHT",1.24,960,92,-12,-67.4
"264",4,4609709,"RIGHT",0.48,960,987,23.9,11.7
"265",4,4609709,"RIGHT",1.07,115,540,50.3,31.6
"266",4,4609709,"RIGHT",0.28,1804,540,-1.5,15.6
"267",4,4609709,"RIGHT",0.63,216,145,-31.9,13.7
"268",4,4609709,"RIGHT",0.84,1703,145,16.9,-43.5
"269",4,4609709,"RIGHT",6.78,216,934,-25.2,-374.6
"270",4,4609709,"RIGHT",0.3,1703,934,16.8,0.9
"271",4,4788657,"RIGHT",0.2,960,540,-10.7,-2.8
"272",4,4788657,"RIGHT",0.36,960,92,19.8,3.5
"273",4,4788657,"RIGHT",0.51,960,987,-21.5,18.4
"274",4,4788657,"RIGHT",1.7,115,540,93.3,-19.4
"275",4,4788657,"RIGHT",0.94,1804,540,40.8,33.2
"276",4,4788657,"RIGHT",0.27,216,145,12.1,9.3
"277",4,4788657,"RIGHT",0.39,1703,145,0.3,22.1
"278",4,4788657,"RIGHT",8.3,216,934,-320,337.5
"279",4,4788657,"RIGHT",1.03,1703,934,49.3,-30
"280",4,4978994,"RIGHT",0.05,960,540,1.4,-2.5
"281",4,4978994,"RIGHT",0.61,960,92,-15.2,-30.2
"282",4,4978994,"RIGHT",0.44,960,987,23.3,5.6
"283",4,4978994,"RIGHT",6.27,115,540,345.8,-2.2
"284",4,4978994,"RIGHT",0.64,1804,540,-35.1,5.2
"285",4,4978994,"RIGHT",1.31,216,145,71.9,9.7
"286",4,4978994,"RIGHT",0.32,1703,145,-11.9,-13.4
"287",4,4978994,"RIGHT",0.69,216,934,34.6,-16.5
"288",4,4978994,"RIGHT",1,1703,934,9.2,-54.2
"289",4,5036803,"RIGHT",17.14,960,540,-1002.2,72.2
"290",4,5036803,"RIGHT",0.46,960,92,22.5,-14.2
"291",4,5036803,"RIGHT",0.41,960,987,5.6,-22.9
"292",4,5036803,"RIGHT",2.58,115,540,-145.5,40.9
"293",4,5036803,"RIGHT",2.11,1804,540,115.4,43.1
"294",4,5036803,"RIGHT",1.84,216,145,106.1,19.7
"295",4,5036803,"RIGHT",0.1,1703,145,6.1,0.3
"296",4,5036803,"RIGHT",0.12,216,934,-6.5,1.9
"297",4,5036803,"RIGHT",0.98,1703,934,57.6,2.8
"298",4,5054640,"RIGHT",0.26,960,540,14,-4.5
"299",4,5054640,"RIGHT",1.15,960,92,49.1,-41.2
"300",4,5054640,"RIGHT",0.89,960,987,-33.8,-36.4
"301",4,5054640,"RIGHT",0.55,115,540,-2.3,30.7
"302",4,5054640,"RIGHT",1.58,1804,540,86.8,13.3
"303",4,5054640,"RIGHT",0.56,216,145,25.3,18.6
"304",4,5054640,"RIGHT",1.28,1703,145,-60.1,-38.5
"305",4,5054640,"RIGHT",0.68,216,934,-4.8,-37.5
"306",4,5054640,"RIGHT",1.18,1703,934,65.4,1.4
"307",4,5247858,"RIGHT",1.71,960,540,-7.7,94.8
"308",4,5247858,"RIGHT",0.75,960,92,7.6,41.2
"309",4,5247858,"RIGHT",0.38,960,987,-20.4,4.7
"310",4,5247858,"RIGHT",6.93,115,540,380.5,53.1
"311",4,5247858,"RIGHT",2.79,1804,540,-106.5,112.4
"312",4,5247858,"RIGHT",0.95,216,145,-50.6,14.3
"313",4,5247858,"RIGHT",1.2,1703,145,-16.1,64.7
"314",4,5247858,"RIGHT",0.89,216,934,42.3,25
"315",4,5247858,"RIGHT",1.89,1703,934,-97,40
"316",4,5291209,"RIGHT",1.4,960,540,-7.5,-78
"317",4,5291209,"RIGHT",1.08,960,92,-61.2,7.7
"318",4,5291209,"RIGHT",0.3,960,987,-6.8,-15.4
"319",4,5291209,"RIGHT",14.25,115,540,-816,-21.7
"320",4,5291209,"RIGHT",0.99,1804,540,-52,-22.3
"321",4,5291209,"RIGHT",0.83,216,145,33.2,33.3
"322",4,5291209,"RIGHT",0.49,1703,145,17.4,21.8
"323",4,5291209,"RIGHT",2.09,216,934,-119.8,-5.9
"324",4,5291209,"RIGHT",0.61,1703,934,-6.7,-33.6
"325",4,5488812,"RIGHT",3.05,960,540,72.7,-151.7
"326",4,5488812,"RIGHT",0.61,960,92,-30.1,-15.2
